Gene,Log_Tom2d
PITG_01110,0.886767583
PITG_01111,0.337619352
PITG_01112,0.239123868
PITG_01113,0.135942154
PITG_01114,-0.336274433
PITG_01115,-0.196864536
PITG_01116,0.538553861
PITG_01117,0.236480442
PITG_01118,0.593295032
PITG_01119,-0.313572732
PITG_01120,0.240009592
PITG_01121,0.135584524
PITG_01122,-0.096772334
PITG_01123,0.311006893
PITG_01124,-0.401035729
PITG_01125,0.138672584
PITG_01127,-0.597532183
PITG_01128,-0.887661422
PITG_01129,0.094854241
PITG_01130,-0.148995602
PITG_01131,0.450959807
PITG_01132,0.06031601
PITG_01133,-0.02923168
PITG_01134,-0.288498516
PITG_01135,0.010344846
PITG_01136,-0.047599638
PITG_01137,0.024227884
PITG_01138,-0.976411342
PITG_01139,-0.510035407
PITG_01140,-0.394749622
PITG_01142,-1.087651565
PITG_01143,0.137641309
PITG_01144,-0.167225323
PITG_01145,-0.683953797
PITG_01146,-0.809873886
PITG_01147,-0.128061718
